state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Texas,2018,   0.64,   2.43,   1.96,   1.05,   2.08,   2.49,   2.15,   2.17,   6.71,   6.92,   1.78,   3.34
Texas,2019,   1.50,   0.92,   1.21,   3.58,   5.23,   4.27,   1.29,   1.42,   2.43,   2.71,   1.42,   0.88
Utah,2015,   0.92,   0.63,   0.85,   0.98,   3.20,   0.97,   1.46,   1.27,   0.88,   1.80,   1.07,   1.38
Utah,2016,   1.42,   0.62,   1.20,   1.70,   1.36,   0.33,   0.62,   0.94,   2.08,   0.89,   0.95,   1.93
Utah,2017,   2.76,   1.54,   1.59,   1.17,   0.64,   0.16,   1.39,   0.94,   1.54,   0.18,   0.53,   0.39
Utah,2018,   0.86,   0.83,   1.29,   0.86,   1.14,   0.05,   0.84,   1.02,   0.08,   2.93,   0.85,   0.83
Utah,2019,   1.51,   2.31,   2.61,   1.74,   2.94,   0.49,   0.59,   0.35,   0.85,   0.24,   1.86,   1.45
Vermont,2015,   2.79,   1.79,   1.34,   2.71,   3.06,   8.63,   4.08,   2.95,   4.73,   3.48,   1.81,   5.07
Vermont,2016,   1.62,   4.71,   2.96,   2.60,   2.74,   3.29,   3.83,   4.82,   2.12,   3.55,   2.78,   3.60
Vermont,2017,   2.53,   2.84,   3.30,   4.19,   5.72,   6.46,   4.23,   3.55,   2.93,   5.26,   2.19,   3.10
Vermont,2018,   3.49,   2.95,   3.03,   4.70,   1.99,   3.85,   4.35,   4.20,   4.03,   4.40,   6.33,   3.75
Vermont,2019,   5.05,   2.71,   2.06,   5.59,   5.66,   5.61,   3.39,   3.79,   3.18,   6.83,   3.98,   3.55
Virginia,2015,   2.59,   2.66,   3.75,   4.51,   2.15,   6.95,   5.05,   2.65,   5.73,   4.58,   3.92,   5.22
Virginia,2016,   2.93,   4.71,   2.05,   2.34,   6.92,   5.04,   4.82,   3.23,   5.27,   3.52,   1.37,   3.21
Virginia,2017,   3.96,   0.86,   3.17,   4.85,   7.52,   3.41,   4.13,   4.66,   2.03,   4.50,   1.36,   1.11
Virginia,2018,   2.67,   4.35,   3.17,   4.43,   7.27,   5.96,   5.39,   5.81,   7.96,   5.08,   6.08,   5.36
Virginia,2019,   3.52,   5.23,   3.31,   4.16,   3.60,   5.81,   4.51,   3.43,   0.94,   5.63,   2.48,   3.38
Washington,2015,   4.96,   4.30,   4.32,   1.82,   1.51,   0.47,   0.42,   1.33,   1.50,   4.18,   7.02,  11.42
Washington,2016,   6.82,   5.08,   6.99,   1.60,   1.54,   1.83,   1.16,   0.36,   1.67,  10.29,   6.87,   4.93
Washington,2017,   3.64,   7.17,   8.53,   4.88,   2.42,   1.55,   0.04,   0.14,   1.35,   5.06,   8.86,   5.09
Washington,2018,   7.74,   4.39,   3.29,   5.47,   1.08,   1.36,   0.17,   0.35,   1.59,   3.65,   5.21,   7.02
Washington,2019,   4.51,   4.09,   1.41,   3.50,   1.82,   1.05,   0.91,   0.93,   3.62,   3.78,   1.85,   5.58
West Virginia,2015,   2.41,   2.74,   5.36,   6.34,   2.36,   6.43,   6.46,   2.71,   4.05,   2.76,   2.28,   4.72
West Virginia,2016,   2.61,   3.65,   2.53,   2.91,   6.01,   6.26,   4.93,   3.63,   2.86,   3.53,   1.87,   4.57
West Virginia,2017,   4.80,   1.75,   4.31,   4.35,   6.16,   4.70,   6.17,   3.39,   1.91,   5.26,   2.34,   1.87
West Virginia,2018,   3.11,   6.85,   3.97,   4.95,   6.16,   6.24,   4.79,   5.89,   9.41,   3.95,   4.85,   4.93
West Virginia,2019,   3.86,   5.48,   2.62,   3.85,   5.54,   5.06,   4.58,   3.83,   0.68,   5.26,   2.59,   4.89
Wisconsin,2015,   0.53,   0.42,   0.73,   2.94,   4.65,   4.44,   3.38,   4.00,   4.39,   2.70,   3.42,   4.28
Wisconsin,2016,   0.84,   0.82,   3.93,   2.21,   3.06,   5.36,   5.20,   5.21,   5.99,   2.95,   1.84,   1.98
Wisconsin,2017,   2.03,   1.34,   1.99,   4.59,   4.94,   5.94,   4.46,   4.10,   1.90,   4.30,   0.91,   1.07
Wisconsin,2018,   1.20,   1.51,   0.92,   2.53,   4.70,   5.44,   3.11,   6.07,   5.52,   5.25,   1.94,   1.55
Wisconsin,2019,   1.43,   3.12,   1.34,   3.72,   5.56,   3.91,   5.33,   3.54,   7.03,   4.88,   2.03,   2.66
Wyoming,2015,   0.62,   0.94,   0.58,   1.70,   4.59,   1.89,   1.53,   0.91,   0.64,   1.11,   1.09,   1.11
Wyoming,2016,   0.87,   0.80,   1.99,   2.52,   2.46,   0.66,   0.70,   0.84,   1.97,   1.81,   0.84,   1.82
Wyoming,2017,   1.66,   2.02,   1.88,   2.80,   1.80,   1.09,   0.97,   0.94,   2.21,   0.79,   1.48,   1.02
Wyoming,2018,   0.90,   1.22,   1.40,   1.44,   3.09,   2.10,   1.32,   0.95,   0.35,   1.28,   1.31,   0.76
Wyoming,2019,   0.90,   1.40,   1.27,   1.97,   3.75,   1.66,   1.31,   1.01,   1.99,   1.19,   1.08,   0.81
Alaska,2015,   3.17,   1.84,   2.26,   2.73,   1.82,   2.07,   3.92,   4.88,   6.21,   4.16,   5.39,   1.65
Alaska,2016,   2.71,   2.48,   2.25,   2.30,   2.68,   2.68,   4.18,   5.20,   5.89,   1.70,   2.90,   2.10
Alaska,2017,   2.90,   2.34,   1.19,   0.90,   2.76,   2.09,   3.42,   6.02,   5.32,   5.23,   2.34,   3.55
Alaska,2018,   2.44,   2.08,   2.03,   2.08,   2.98,   3.01,   2.77,   6.53,   2.57,   4.92,   3.57,   2.92
Alaska,2019,   2.50,   2.20,   2.53,   1.92,   2.37,   1.81,   2.89,   3.37,   5.45,   4.82,   5.10,   3.04
